Lcl Time,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,AltInd,AltMSL,OAT,TAS,E1 OilT,E1 OilP,E1 FFlow,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4
         ,0.0,       ,15.03,3.68,-0.37,0.01,-0.0,5004.2,        ,29.8,0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
         ,0.0,       ,-5.98,3.69,-0.36,-0.0,0.01,5004.2,        ,29.8,0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
 09:26:56,0.0,   0.00,1.72,3.64,-0.36,0.01,-0.03,5004.2,  5006.7,29.8,0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
 09:26:57,0.0,   0.00,2.17,3.66,-0.37,0.01,-0.01,5004.2,  5006.7,29.8,0,  149.20,   59.24,     2.52, 1210.1,  178.99,  166.83,  179.44,  178.68, 1081.28, 1053.86, 1062.33, 1066.74
 09:26:58,0.0,   0.00,0.69,3.66,-0.4,0.01,-0.01,5004.2,  5006.7,29.8,0,  149.18,   59.25,     2.51, 1212.8,  179.72,  167.54,  180.12,  179.36, 1081.52, 1053.75, 1061.17, 1066.04
 09:26:59,0.0,   0.00,-3.6,3.71,-0.38,0.01,0.05,5004.2,  5006.7,29.8,0,  149.15,   59.26,     2.51, 1210.2,  180.43,  168.26,  180.80,  180.11, 1082.24, 1053.53, 1060.34, 1066.22
 09:27:00,0.0,   0.00,-3.33,3.59,-0.38,0.0,-0.06,5004.2,  5006.7,29.8,0,  149.13,   59.32,     2.49, 1208.2,  181.14,  168.98,  181.49,  180.87, 1083.54, 1053.52, 1059.85, 1065.79
 09:27:01,0.0,   0.00,-17.96,3.68,-0.4,-0.0,0.02,5004.2,  5006.7,29.5,0,  149.11,   59.30,     2.50, 1206.8,  181.87,  169.70,  182.16,  181.68, 1084.83, 1053.57, 1059.42, 1065.34
 09:27:02,0.0,   0.00,-20.41,3.63,-0.37,0.0,-0.01,5004.2,  5006.7,29.5,0,  149.09,   59.33,     2.50, 1206.4,  182.59,  170.41,  182.84,  182.36, 1086.42, 1053.17, 1059.57, 1064.89
 09:27:03,0.0,   0.00,-16.92,3.65,-0.42,0.0,-0.01,5004.2,  5006.7,29.5,0,  149.06,   59.30,     2.52, 1208.1,  183.31,  171.13,  183.51,  183.18, 1087.26, 1052.67, 1060.56, 1064.37
 09:27:04,0.0,   0.00,-21.63,3.6,-0.35,0.01,-0.03,5003.2,  5006.7,29.5,0,  149.04,   59.32,     2.55, 1210.1,  184.04,  171.85,  184.21,  183.96, 1088.09, 1053.24, 1061.80, 1064.76
 09:27:05,0.0,   0.00,-6.1,3.67,-0.38,-0.0,0.0,5004.2,  5009.3,29.5,0,  149.02,   59.27,     2.54, 1210.6,  184.76,  172.57,  184.88,  184.70, 1089.98, 1053.26, 1062.94, 1064.64
 09:27:06,0.0,   0.00,2.68,3.64,-0.38,-0.0,0.01,5004.2,  5009.3,29.5,0,  148.98,   59.36,     2.50, 1210.6,  185.35,  173.15,  185.44,  185.33, 1091.01, 1053.47, 1064.03, 1064.73
 09:27:07,0.0,   0.00,-12.86,3.66,-0.35,0.01,-0.01,5003.2,  5009.3,29.5,0,  148.95,   59.35,     2.50, 1209.5,  186.00,  173.81,  186.04,  185.95, 1092.09, 1054.02, 1064.47, 1065.56
 09:27:08,0.0,   0.00,-31.39,3.66,-0.4,0.0,-0.05,5002.2,  5009.7,29.5,0,  148.92,   59.39,     2.51, 1212.2,  186.71,  174.50,  186.71,  186.76, 1092.82, 1053.99, 1065.49, 1067.10
 09:27:09,0.0,   0.00,-29.19,3.61,-0.36,0.0,-0.03,5003.2,  5009.6,29.5,0,  148.90,   59.42,     2.54, 1214.5,  187.44,  175.23,  187.38,  187.50, 1093.78, 1054.07, 1065.41, 1067.33
 09:27:10,0.0,   0.00,-6.46,3.61,-0.33,0.02,0.01,5003.2,  4995.5,29.5,0,  148.86,   59.38,     2.49, 1212.8,  188.16,  175.95,  188.07,  188.28, 1095.03, 1053.36, 1065.84, 1067.17
 09:27:11,0.0,   0.00,-24.19,3.66,-0.37,0.01,0.02,5002.2,  4995.8,29.5,0,  148.83,   59.35,     2.52, 1210.2,  188.88,  176.67,  188.76,  189.04, 1095.91, 1052.94, 1066.89, 1066.96
 09:27:12,0.0,   0.00,-17.91,3.63,-0.36,0.01,-0.06,5003.2,  4997.1,29.5,0,  148.81,   59.41,     2.51, 1210.3,  189.59,  177.38,  189.43,  189.71, 1097.59, 1052.82, 1068.08, 1066.70
 09:27:13,0.0,   0.00,-11.35,3.63,-0.35,0.01,-0.0,5003.2,  4997.1,29.5,0,  148.78,   59.45,     2.51, 1209.8,  190.32,  178.10,  190.10,  190.54, 1098.36, 1052.96, 1068.80, 1065.77
 09:27:14,0.0,   0.00,-41.59,3.59,-0.34,0.01,-0.04,5001.2,  4997.3,29.5,0,  148.74,   59.41,     2.53, 1205.7,  191.05,  178.81,  190.80,  191.30, 1100.86, 1052.53, 1069.67, 1066.27
 09:27:15,0.0,   0.00,-23.57,3.63,-0.36,0.0,0.03,5002.2,  4997.1,29.2,0,  148.71,   59.39,     2.50, 1208.9,  191.63,  179.40,  191.34,  191.86, 1101.31, 1052.84, 1069.95, 1066.65
 09:27:16,0.0,   0.00,-20.59,3.56,-0.33,0.0,-0.04,5001.2,  4997.2,29.2,0,  148.68,   59.33,     2.53, 1210.5,  192.27,  180.04,  191.94,  192.54, 1101.02, 1053.28, 1069.88, 1067.21
 09:27:17,0.0,   0.00,-0.08,3.63,-0.35,0.0,0.01,5002.2,  4998.0,29.2,0,  148.65,   59.41,     2.52, 1211.6,  192.97,  180.74,  192.54,  193.29, 1101.01, 1053.60, 1070.19, 1068.11
 09:27:18,0.0,   0.00,1.05,3.6,-0.34,0.0,-0.03,5002.2,  4997.7,29.2,0,  148.61,   59.51,     2.52, 1215.9,  193.68,  181.44,  193.27,  194.11, 1099.84, 1054.69, 1071.21, 1067.99
 09:27:19,0.0,   0.00,8.51,3.6,-0.34,0.0,-0.03,5003.2,  4998.6,29.2,0,  148.57,   59.49,     2.53, 1221.4,  194.40,  182.15,  193.93,  194.85, 1098.36, 1054.94, 1071.70, 1067.17
 09:27:20,0.0,   0.00,16.67,3.64,-0.32,0.01,0.0,5003.2,  4998.9,29.2,0,  148.54,   59.45,     2.53, 1218.9,  195.11,  182.87,  194.62,  195.62, 1099.28, 1054.77, 1070.83, 1067.44
 09:27:21,0.0,   0.00,1.39,3.64,-0.35,0.01,-0.01,5003.2,  4999.2,29.2,0,  148.50,   59.48,     2.51, 1213.1,  195.83,  183.59,  195.28,  196.36, 1099.23, 1055.42, 1070.15, 1068.42
 09:27:22,0.0,   0.00,-10.48,3.61,-0.35,0.0,0.01,5003.2,  5000.0,29.2,0,  148.46,   59.48,     2.50, 1211.4,  196.54,  184.30,  195.97,  197.05, 1099.17, 1055.93, 1070.13, 1069.19
 09:27:23,0.0,   0.00,-0.54,3.6,-0.31,0.0,-0.01,5003.2,  4999.6,29.2,0,  148.42,   59.51,     2.54, 1214.9,  197.11,  184.87,  196.50,  197.73, 1099.04, 1056.52, 1070.18, 1071.00
 09:27:24,0.0,   0.00,-0.02,3.59,-0.34,-0.0,-0.0,5003.2,  5000.1,29.2,0,  148.38,   59.46,     2.54, 1217.6,  197.76,  185.50,  197.11,  198.41, 1097.86, 1056.92, 1070.01, 1071.52
 09:27:25,0.0,   0.00,2.48,3.59,-0.35,0.01,-0.01,5004.2,  4999.9,29.2,0,  148.34,   59.49,     2.54, 1217.1,  198.45,  186.19,  197.75,  199.13, 1097.39, 1057.67, 1071.53, 1072.03
 09:27:26,0.0,   0.00,1.96,3.59,-0.34,0.02,-0.04,5003.2,  5000.1,29.2,0,  148.30,   59.53,     2.53, 1217.3,  199.15,  186.89,  198.43,  199.81, 1098.91, 1058.70, 1072.70, 1071.56
 09:27:27,0.0,   0.00,-5.69,3.63,-0.37,-0.0,0.01,5003.2,  4999.7,29.2,0,  148.26,   59.46,     2.53, 1217.8,  199.85,  187.61,  199.08,  200.61, 1099.84, 1059.41, 1073.66, 1071.62
