Lcl Time,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,AltInd,AltMSL,OAT,TAS,E1 OilT,E1 OilP,E1 FFlow,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4
         ,0.0,       ,-10.71,1.75,1.16,-0.03,-0.04,5065.7,        ,40.0,0.0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
         ,0.0,       ,16.27,1.76,1.12,-0.02,-0.01,5066.7,        ,40.0,0.0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
 15:27:02,0.0,       ,23.6,1.83,1.13,-0.02,0.03,5067.7,        ,39.8,0.0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
 15:27:03,0.0,       ,9.72,1.82,1.14,-0.03,-0.02,5067.7,        ,39.8,0.0,        ,        ,         ,       ,        ,        ,        ,        ,        ,        ,        ,        
 15:27:04,0.0,       ,12.78,1.83,1.11,-0.01,0.02,5067.7,        ,39.8,0.0,  156.23,   61.38,     3.71, 1290.8,  136.17,  144.65,  139.14,  150.77,  958.51,  899.84,  936.90,  898.69
 15:27:05,0.0,       ,-16.07,1.8,1.11,-0.01,-0.02,5066.7,        ,39.8,0.0,  156.19,   61.41,     3.73, 1288.6,  136.50,  144.97,  139.39,  151.10,  972.48,  912.43,  948.87,  909.51
 15:27:06,0.0,       ,-4.65,1.78,1.13,-0.01,0.01,5067.7,        ,39.5,0.0,  156.16,   61.21,     3.77, 1281.3,  136.83,  145.27,  139.66,  151.46,  986.79,  923.23,  960.40,  917.93
 15:27:07,0.0,       ,-28.79,1.75,1.14,-0.03,-0.03,5066.7,        ,39.5,0.0,  156.12,   61.15,     3.66, 1275.0,  137.20,  145.61,  139.94,  151.82,  997.47,  932.17,  970.39,  927.10
 15:27:08,0.0,       ,-33.27,1.78,1.14,-0.02,0.04,5065.7,        ,39.5,0.0,  156.06,   61.01,     3.59, 1265.7,  137.55,  146.00,  140.24,  152.18, 1005.78,  940.01,  978.04,  935.82
 15:27:09,0.0,       ,-31.18,1.74,1.16,-0.02,-0.03,5065.7,        ,39.2,0.0,  156.02,   60.87,     3.65, 1255.8,  137.93,  146.32,  140.54,  152.56, 1012.19,  945.58,  984.03,  941.08
 15:27:10,0.0,       ,-22.13,1.79,1.18,-0.02,-0.0,5065.7,        ,39.2,0.0,  155.97,   61.03,     3.59, 1263.3,  138.15,  146.57,  140.69,  152.79, 1019.65,  951.05,  990.10,  945.14
